wl ldc_c1 ldc_c2 ldc_c3 ldc_c4
0.3 1.0 0.5 0.5 1.0
0.301 1.0 0.5 0.5 1.0
0.302 1.0 0.5 0.5 1.0
0.303 1.0 0.5 0.5 1.0
0.304 1.0 0.5 0.5 1.0
0.305 1.0 0.5 0.5 1.0
0.306 1.0 0.5 0.5 1.0
0.307 1.0 0.5 0.5 1.0
0.308 1.0 0.5 0.5 1.0
0.309 1.0 0.5 0.5 1.0
0.31 1.0 0.5 0.5 1.0
0.311 1.0 0.5 0.5 1.0
0.312 1.0 0.5 0.5 1.0
0.313 1.0 0.5 0.5 1.0
0.314 1.0 0.5 0.5 1.0
0.315 1.0 0.5 0.5 1.0
0.316 1.0 0.5 0.5 1.0
0.317 1.0 0.5 0.5 1.0
0.318 1.0 0.5 0.5 1.0
0.319 1.0 0.5 0.5 1.0
0.32 1.0 0.5 0.5 1.0
0.321 1.0 0.5 0.5 1.0
0.322 1.0 0.5 0.5 1.0
0.323 1.0 0.5 0.5 1.0
0.324 1.0 0.5 0.5 1.0
0.325 1.0 0.5 0.5 1.0
0.326 1.0 0.5 0.5 1.0
0.327 1.0 0.5 0.5 1.0
0.328 1.0 0.5 0.5 1.0
0.329 1.0 0.5 0.5 1.0
0.33 1.0 0.5 0.5 1.0
0.331 1.0 0.5 0.5 1.0
0.332 1.0 0.5 0.5 1.0
0.333 1.0 0.5 0.5 1.0
0.334 1.0 0.5 0.5 1.0
0.335 1.0 0.5 0.5 1.0
0.336 1.0 0.5 0.5 1.0
0.337 1.0 0.5 0.5 1.0
0.338 1.0 0.5 0.5 1.0
0.339 1.0 0.5 0.5 1.0
0.34 1.0 0.5 0.5 1.0
0.341 1.0 0.5 0.5 1.0
0.342 1.0 0.5 0.5 1.0
0.343 1.0 0.5 0.5 1.0
0.34400000000000003 1.0 0.5 0.5 1.0
0.34500000000000003 1.0 0.5 0.5 1.0
0.34600000000000003 1.0 0.5 0.5 1.0
0.34700000000000003 1.0 0.5 0.5 1.0
0.34800000000000003 1.0 0.5 0.5 1.0
0.34900000000000003 1.0 0.5 0.5 1.0
0.35000000000000003 1.0 0.5 0.5 1.0
0.35100000000000003 1.0 0.5 0.5 1.0
0.35200000000000004 1.0 0.5 0.5 1.0
0.35300000000000004 1.0 0.5 0.5 1.0
0.35400000000000004 1.0 0.5 0.5 1.0
0.35500000000000004 1.0 0.5 0.5 1.0
0.35600000000000004 1.0 0.5 0.5 1.0
0.35700000000000004 1.0 0.5 0.5 1.0
0.35800000000000004 1.0 0.5 0.5 1.0
0.35900000000000004 1.0 0.5 0.5 1.0
0.36000000000000004 1.0 0.5 0.5 1.0
0.36100000000000004 1.0 0.5 0.5 1.0
0.36200000000000004 1.0 0.5 0.5 1.0
0.36300000000000004 1.0 0.5 0.5 1.0
0.36400000000000005 1.0 0.5 0.5 1.0
0.36500000000000005 1.0 0.5 0.5 1.0
0.36600000000000005 1.0 0.5 0.5 1.0
0.36700000000000005 1.0 0.5 0.5 1.0
0.36800000000000005 1.0 0.5 0.5 1.0
